Review,Star
Sistem online tapi website sangat lemot padahal udah ada pembatasan jam yg hanya satu jam. Gimana mau kelar kalo begini terus,1 bintang
Pelayanan lama banget. Udah jam 8.20 loket masih kosong. Nggak tau lagi deh mau komen apa. Protokol kesehatan tidak berjalan sama sekali. Cek suhu serta masker gk diterapkan... Saya dateng sama istri saya disuruh nunggu luar satu... Sebelah saya segambreng sekeluarga masuk aman2 aja. Padahal cuma ngurus KK doang satu.,2 bintang
"susah banget dihubunginnya, bingung harus hubungin kemana. percuma ada nomor telefon di website tp gak ada yg angkat. makasih",1 bintang
percuma online gak bakalan bisa solusi nya cuma datang ke kelurahan minta di daftarin dan bayar 200rb kalau mau trima beres bayar 350rb untuk pembuatan KK doang,1 bintang
"Prosesnya berbelit.  Harus daftar online untuk pelayanan offline. Mana pelayanan oflinenya lama banget, lelet.  Wkwk.
Padahal cuma pindah domisili.
Beda banget sama dukcapil tangkot.  Semua dah online, upload berkas online. Tinggal nunggu balesan, langsung jadi.",2 bintang
INI GIMANA CARANYA MAU PINDAH DATANG YA KALAU SMEUA TANGGAL PENUH.. telepon dan WA ber kali2 ga ada tanggapan,1 bintang
"Awalnya saya kesulitan untuk daftar online, selalu error atau penuh. Lalu saya coba cari tahu di akun Instagramnya, ternyata cukup informatif. Saya DM di Instagram , responnya jauh lebih cepat dibanding via WA. Jadi ternyata kesulitan saya untuk online dikarenakan jam online yang tidak sesuai dengan pembatasan dan browser yang digunakan tidak sesuai.
Saran saya jika ada kesulitan coba cek di IG nya Disdukcapil Tangsel Pak/Bu. Responsif dan Informatif",5 bintang
Sistem seperti ini bikin masyarakat susah pindah biasa urus cpt sekarang harus tunggu 1/2bln,1 bintang
"Susah banget mau daftar online , masa gak bisa ketik nama baru ketik A , munculnya AAAAAAAA",1 bintang
"Sistem onlinenya buruk. Mau daftar ulang, sistem error, skalinya gak eror booking date full (hampir 2 minggu blm dapet booking date 😢).
Udah sistem eror, Booking date cm dibuka 3hari, skalinya sistem gak eror tau2 udah full.. gak ngerti …",1 bintang
"Pelayanan sangat buruk, buruk,buruk.. wajar warga Tangsel pada mau pidah semua, apa""yg mau diurus semua di persulit.. datang dsuru daftar online, udah daftar online aplikasi error', selalu begtu, lalu harus bagai mana ?",1 bintang
"Bikin ktp.online susah bnget.padahal saya sudah sudh klik brpah x..selallu.sistem.nya lgi perbaikan sistem.sudah berpah x sistem eror trus
Coba kinerja.nya hrus diperbaiki lgi.",2 bintang
"Udah jauh-jauh ke sana di minta untuk daftar online, pas mau daftar online malah error, please, masyarakat lebih di perhatikan jangan menyusahkan kami yg mau mengurus dokumen",1 bintang
"Skrng dukcapil tangsel ko berubah drastis pelayanan yang sangat buruk sekali, mau urus surat pindah diperdulit gegara suruh daftar lewat online, dah 3 minggu berturut-turut daftar selalu penuh, sdng dlm perbaikan,  tutup dan apalah itu, sistem online belum siap dipaksain ya kaya gini nih jadinya, trima kasih",1 bintang
"Daftar online nya kurang bagus, seperti kita naik kereta KRL, ada waktu untuk kita daftar, daftar di luar jam kerja tidak bisa, tapi pas kita daftar di jam kerja sudah penuh dengan pendaftar lain, akhir nya kita menunggu lagi besok, daftar …",1 bintang
"Saya mau pindah datang sistem gak bisa kebuka
Bapak ibu minta tolong untuk sistem di perbaiki LG. Karna klo kaya begitu terus sistem Nya banyak yg kesel.",1 bintang
"Urus apa-apa susah, datang kesana langsung suruh daftar online dulu, giliran daftar online malah error. Data KTP ama KK dr umur 17 ampe umur 29 kok salah melulu padahal dah berkali-kali minta dibenerin, setiap kali perlu berkas perlu ke dukcapil untuk suket, eh dukcapilnya repot.",1 bintang
Mau tanya soal no nik ktp yg tdk terdaftar. Jadi susah soal perbankan dan bpjs kesehtan padahal sudah satu bulan saya mengajukan ke dukcapil tapi sama saja blum ada perubahan tolong ini sangat penting krna saya ada perlu yg sangat argen soal pekerjaan,2 bintang
Daftar online susah webnya error apa gimna? Ga bisa ketik nama... Di hlaman pendaftaran,2 bintang
Assalamualaikum  maaf mau tanya nih kan saya udah cetak ulang udah jadi trus saya mau cetak ulang ktp bapak saya bisa ga satu akun email saya buat cetak ktp bapak saya tampa daftar email lagi gtu nomor tlp sama gtu biar ga ribet bisa ga mau tanya j lewat hp,5 bintang
Parah banget !!!! Mau comment males!!! Terpaksa aj ni biar smua tau bantu tambah kasih bintang buruk !! Semua keluhan saya ternyata di alami banyak orang jg yg komentar . Capek deh,1 bintang
Sistem online tp berkali2 selalu gagal ...dtang langsung gk bsa...trus cra yg tepat bagaimana sya mau urus e-KTP...,3 bintang
"Urus dokumen katany 14 hr kerja, hr ke 14 dtg, org yg melayani 14 hr lalu ga ada. Dokumen gak dicariin lgsg disuruh pulang. Dateng lg 15hr kerja, org yg seharusnya ttd sakit, disuruh besok lg. Entah besok apa lg alasannya",1 bintang
Tutup jam 12 bukan jam 4. Jam 1 datang tidak bisa ambil nomor antrian lagi. Jam 1 kerja tapi katanya semua staff masih istirahat. Mau tanya admin persyaratan saja tidak bisa,1 bintang
"Percuma di bikin web tidak berfungsi dengan baik, tanggal susah d cari dll jaringan eror trus ga profesional it nya",1 bintang
"Jelek banget... Sistemnya.
Beda banget sama kota lain.
Sistem'y bikin ribet n esmosi jiwa bukan'y mempermudah malah di bikin persulit",1 bintang
Mau mencetak E-KTP saja sangat sulit. Sistem online sering dalam perbaikan dan metode cetak via Mal selalu penuh. Saya harus beberapa kali datang ke kantor setempat karena ternyata data saya belum dimasukkan ke sistem.,1 bintang
Gimana sih tangsel tanggal /hari selalu penuh katanya pendaftaran untuk pindah domisili jam 11.30 tp mana nyata’y tiap hr saya daftar selalu saja penuh’ padahal sy tepat waktu untuk mendftarkan’y mohon bpk / ibu mempermudah ajuan sy pindah …,1 bintang
"MAU BUAT GANTI E-KTP AJA SUSAH, DAFTAR ONLINE SERVERNYA SELALU BERMASALAH, TERUS HARUS GIMNA?",1 bintang
"Mantap nih pelayanan cepat, satu hari jadi, yang mau ganti KTPel karna rusak atau hilang bisa melalui via Drive Thru ojol, gak perlu antri tinggal tunggu drumah pesan ojol beress..terima Kasih...",5 bintang
"Orang ini bikin KTP tangerang selatan buat menipu sama mencuri, KTP Jakarta timur masih berlaku jd punya 2 KTP
Tolong ditindaklanjuti",5 bintang
"website ini guna nye ap sih,, klo mau daftar sllu penuh.. gue dftr pagi full, gue dftr siang full.. percuma dong disuruh dftr online, klo website nye aj ga berpihak kerakyat,, ujungnye sllu lari kekecamatan, dan hal hasil psti ngeluarin pke duit..",1 bintang
"PELAYANAN SANGAT BURUK. DATANG URUS SENDIRI TAPI MALAH DI PERSULIT, SISTEM PENDAFTARAN ONLINE TAPI MALAH MEMPERSULIT RAKYAT. SETIAP LOGIN SELALU BERMASALAH, ALHASIL WEBSITE TIDAK BISA MELAYANI RAKYAT. MAKANYA DATANG LANGSUNG DAN BERSIKEKEH …",1 bintang
"tolong diliat ini banyak yg kecewa dengan pelayanan nya ,, apa tidak bisa dipercepat lagi pelayanannya , kalau harus online setidaknya tidak menyulitkan",1 bintang
"Disdukcapil Tangsel era Covid-19, kita sebagai warga Tangerang Selatan masih diberikan kesempatan untuk membuat surat-surat kependudukan. Walaupun ya masih sedikit rada kurang manusiawi sih..
Tapi yasudah lah ya, terimakasih dulu untuk para ASN Dukcapil yg masih semangat mengabdi dan mulai bekerja dgn kebiasaan dan budaya yang baru.",4 bintang
"Jelek parah pelayanannya. Udh rekam E-KTP tpi katanya data hilang. Terpaksa harus datang dan rekam lagi. Setelah jadi E-KTP nya ternyata dia pakai data yang katanya ""hilang"" yang beda tandatangannya. Sungguh amat sangat mengecewakan.",1 bintang
"Terima kasih, pelayanannya cepat, cetak ulang KTP 1 hari jadi tanpa perlu surat pengantar RT/RW dan kelurahan",5 bintang
Mau cetak e-ktp online suuusaaaahh...sudah sebulan lebih ini...😟,1 bintang
Mao perbarui ktp aja ribet bgt.. dftar online serverny eror mulu tiap kali daftar.mungkin tangs3l doang yg ribet.percuma ad online serverny masih bermasalah..,1 bintang
"Ngurusin sp(surat pindah) susah disini yg kagak ada duit kagak diurus2in beda kayak di lampung disana pelayanan cepat gak sampe berbulan2 dan juga tidak ada pungutan biaya sama sekali🙄
Saya pernah praktek kerja di disdukcapil kab.waykanan …",1 bintang
"Ini klik satu huruf ngapa muncul 4 huruf, diapus malah tambah banyak😌",1 bintang
"Pengalaman yang sangat buruk buat pengurusan dokumen kependudukan, hanya utk print ulang Kartu Keluarga. Padahal sudah ada surat kehilangan dari kepolisian setempat. Ribet dan lambat, sepertinya klo ada uang saja bisa cepat dan tidak ribet.",1 bintang
Tolong diperbaiki lagi min. Masa mau masukin nama aja susah bgt,1 bintang
PELAYANAN LAMA....TEMPAT DUDUL BUAT TUNGGI TIDAK ADA....NGANTRI SAMPAI 2 JAM....MOHON DI PERBAIKI PELAYANAN,1 bintang
Pelayanan nya parah banget . Sekelas PNS ga propesional uhhh padahal di gaji sama rakyat UNTUK RAKYAT !!!,1 bintang
Pelayanannya parah. Urus surat bertele-tele bahkan diminta biaya,1 bintang
"Gatau mau gimana lagi! Mau perbaruan E-KTP rusak daftar online susah, mau dateng kesana langsung takut ga diurus udah jauh jauh. Mana E-KTP penting banget buat isi data segala hal! Nanya dikecamatan perbaruan bisa apa engga malah disuruh kedisdukcapil. Adehh tolonglah!!",1 bintang
Kk dan ktp udah lama bikin. Tapi ga bisa di pake. Tolong kebijaksanaan nya.. Karna butuh,3 bintang
Webnya gak jelas!,1 bintang
"Bolak balik.login nggak bisa.
Adakah CS by phone yang bisa bantu",1 bintang
"Pelayanan buruk dan sangat lambat, mohon jadi pehatian bagi kepala dinas terkait, terimakasih",1 bintang
"Duh, parah bgt si pelayanan tangsel ga kesehatan ga kependudukan ribet semua, punya aplikasi online tapi susah bgt pas daftar dari Hari senin sampe sekarang kode otp kaga di kirim2, ada no wa dari minggu lalu sampe sekarang di wa ga ada balesan tlp kaga Ada yg angkat giliran narik pajak getol 😏",1 bintang
"Untuk perbaharui KK, daftar online selalu penuh pdhal pas datang kesana..antriannya sedikit dengan alasan belum pada datang.. Untuk ganti e-KTP, sistemnya perbaharuan terus.. Semoga setelah Pilkada nanti, semakin tertib dan lancar kayak DKI Jakarta biar warga Tangsel bahagia, Amiiin.",1 bintang
"bikin ktp el dari pertama lah engga terdaftar,  pas kerja mau bikin atm ga bisa
kadang suka bingung ke kantor capil ajjh respon.a kurang apph lagi online",1 bintang
"Birokrasi ribet,,harus daftar online dlu giliran mau daftar online ga bisa2,,sistem duscakpil tangsel parah mempersulit masyarakat...pantes ratingnya pada jelek",1 bintang
Loket 1 parah ga ada petugas urus pindah domisili nunggu 4 jam lebih dr jam 10 sampe jam 2 siang belum selesai juga..padahl lg pandemi gini orgnya dikit ga bayangin kalau kondisi normal mungkin 12 jam kali ya,1 bintang
"ini adalah pemandangan setiap hari pukul 09.00 ""Network Error (tcp_error)
A communication error occurred: """"
The Web Server may be down, too busy, or experiencing other problems preventing it from responding to requests. You may wish to …",1 bintang
"saya mau urus surat pindah, katanya harus ambil nomor antrian online di website. sudah buat id dan sukses login, tapi setiap mau ajukan nomor antrian selalu penuh. infonya antrian online untuk surat pindah dibuka pukul 11:30 s/d 13:00, saya …",1 bintang
Susah ngurus lewat online di persulit no wa gak ada yg aktiff,1 bintang
Web nya error terus. Mau login aja susah bener.,1 bintang
"Mohon infonya, bagaimana caranya membuat identitas kk dan e-KTP bagi warga/seseorang yang tidak ada identitas sama sekali?
Mohon infonya",5 bintang
"Dear Ibu Walikota Tangerang Selatan, Kenapa saat ini pencetakan EKTP dibatasi pendaftarannya, alangkah lebih baiknya jika pencetakan KTP tidak dibatasi waktu namun dibatasi kuota. Yang terjadi sekarang adalah dibatasi waktu dan kuota yang …",1 bintang
"Mau pindah KK skrng online, setiap buka web untuk pendaftaran selalu eror.. gmn dong ini saya mau bikin KK ga bisa2..",1 bintang
"untuk pelayanan kurang banget, bilangnya pelayanan hanya bisa secara online, kenyataannya sistem belum sepenuhnya ready ketika di kunjungi banyak orang server error harusnya bisa ditangani. Dan untuk pelayanan via wa dan email jauh dari …",1 bintang
Ribet kalo daftar online yg gak mengerti gedget,1 bintang
Saya chat tentang keluhan saya mengenai e ktp saya.. tapi tapi ngga ada respon sama sekali.. ngga ada gunanya pake tulis no wa mendingan perbaiki layanan nya.. trus ngurus e ktp pake sianduk ojol kata nya membantu tapi ngga bisa atau ngga ngerti ojol nya..,1 bintang
"Hari ini, 12 okt 2020, loket no 1 jam 13.26 masih kosong. Padahal muara produk ada di sana...
Layanan standar, jam 12 istirahat...tdk ada roling petugas jaga. Akhirnya masyarakat menumpuk nunggu berkas keluar.",1 bintang
Lelet pelayanannya..  Ditambah banyak yg gak ikut dgn prosedur..  Buat apa ada nya no antrian klo yg sering urus2 surat/calo trus dy dteng langsung serobot duduk dpn.. Lah kita yg udh dari pagi udh lumutan..  Meraka yg baru dteng ksih …,1 bintang
"Daftar online dari detik ke detik,menit kemenit jam ke jam hari kehari minggu ke minggu pagi siang sore malam gak pernah bisa login,giliran bisa login kuota udah penuh!
Niat kerja gak sih sebenarnya!
Tolonglah pejabat diatas ducapil untuk …",1 bintang
"Parah asli......lama......loket 3 dan 4 Sanga t bagus cepat, begitu pengambilan .....parah",1 bintang
"Pelayanan parah jelek banget,  percuma dicantumin nomor telpon dan whatsapp tp gak pernah ada respon,  rakyat dibikin kaya ngemis CUMA PERBARUI KTP AJA SUSAH BANGET,  kekecamatan disuruh online giliran online juga whatsapp juga gaada BALESAN,  RAKYAT ITU JUGA BUTUH ARAHAN, JANGAN DIPERSULIT",1 bintang
"Memang benar sarang koruptor kelas cere.
Birokrasi itu menggunakan prosedur dan prosedural itu menggunakan analogis, masa ada yg datang dari subuh dapat nomor antrian 11 kalah duluan sama calo yg datang jam 11. Apa coba jika bukan ujung2nya bagi hasil sama tuh calo.",1 bintang
"Dukcapil ternyata susah di hubungi ya? Telp CC ga di angkat, email ga di respon, WA juga ga di respon, lewat kelurahan juga sudah tapi belum ada perubahan? Gimana, apa pada tidur semua pekerja nya?",1 bintang
"Sudah dari bulan juli daftar mau pindah domisili. Sampai datang kantornya juga tetap aja penuh terus, setiap hari dicoba sampai bulan september udah 3 bulan tetap ga bisa. Sekarang keterangan sedang diperbaiki terus. Terus kapan benar dan …",2 bintang
Aduhhh bagaimana ini mau daftar online tapi saat registrasi mau ketik nama sama tempat lahir aja eror kata2 nya gimana mau daftar online ini...,1 bintang
"kalo yang untuk anak atau KIA ( kartu identitas anak ) ada di alam sutera mall living world, sabtu dan minggu buka.....",5 bintang
"Pelayanan disduk Capil sangat mempersulit untuk data pindah domisili, layanan online nya bener"" mempersulit rakyat, tapi pas minta bantuan langsung ke pegawai disduk capilnya secara bisik"" ternyata bisa dibantu tapi harus keluar uang untuk …",1 bintang
Semoga semua ulasan warga Tangsel dapat didengar & diketahui permasalahan-nya oleh pak Zudan A. Fakrulloh. Serta semoga masyarakat Tangsel mendapatkan pelayanan yang sesuai seperti yang tertera di semua spanduk & poster. Aamii.,1 bintang
"Pendaftaran online untuk pindah domisili menunya tidak ada di web hilang entah kemana sementara di video youtubenya ada lengkap.. kontak(telp dan wa) tidak ada respon. Mohon diperhatikan pelayanan kebutuhan warga, sekarang semua serba susah jangan tambah dipersulit untuk urus ini itunya.",1 bintang
Di wa ga di baca. Di tlpn ga diangkat. Saya harus hubungi kemana lagi. Daftar online no verifikasi tdk masuk-masuk.,1 bintang
"Parrah sih reviewnya, dan mengalami juga buruknya pelayanan disduk tangsel. Mau daftar online saja susahnya kebangetan.
Mw bayar calo mahal, hahaa.",1 bintang
"Sistem online tapi saya ga bisa login tuh, benerin dnk server nya. Mau cetak ektp jadi kehambat, masih banyak proses lainnya",1 bintang
Ini kenapa tolong cetak e-ktp ga bisa terus Tuhan,1 bintang
"sistemnya semua gak jelas....mau urus surat pindah katanya harus online, sistemnya gak pernah bisa di buka..kalaupun bisa di buka ujung- ujungnya juga pasti error, dateng langsung gak boleh, Telepon kantor gak pernah ada yang angkat, email …",1 bintang
Data tidak invalid katanya .. gmn mau invalid bro .. gw ketik nama gw yg keluar tulisan apa kan gila .. parah sumpah ini pelayanannya bobrok .. gw mau perbaruin ktp aja udeh kaya mau ngapain tau .. di persulit luar biasa .. udh dateng langsung pelayannya ketus .. suruh daftar online .. giliran daftar online sistem erorr mo****,1 bintang
"Urusan ribet kalo di disdukcapil ini,mau ngurus Akte anak slot perharinya sangat sedikit sudah gitu servernya parah abis.Tolong sistemnya diperbaikin lagi malu sama daerah lain yg ngurus apa apa gampang.",1 bintang
"rakyat disuruh daftar online . tp website nya slalu ga bisa !!!
tapi kalo calo yang ngurusin tuh cepet banget beresnya . sistem online ini malah bikin makmur buat para calo !!!",1 bintang
"Sistemnya sudah cukup cepat dan teratur sebenarnya, cuma orangnya emang banyak banget aja, jadi sabar aja. Yang penting pastiin dokumen lengkap semua. Usahakan datang pagi.",5 bintang
sistemnya gak jelas..mau urus ktp dan surat pindah kata nya harus online tpi sistem error..dateng langsung di persulit Telepon kantor email dan WA gak pernah di respon..tolong jangan di persulit dong..mengecewakan kalau seperti ini,2 bintang
Mau daftar e-KTP sulit sekali untuk online,1 bintang
"Pelayanannya jelek, bikin surat pindah katanya harus daftar online... sdh daftar online cari servernya error terus sekalinya bisa masuk kuotanya pendaftaran habis krn cm 40 doang.ini klo bisa sistemnya diperbaiki & jumlah kuotanya …",2 bintang
"Pelayanan buruk sekali daftar pindah disuruh online tapi server kentang abis , setiap kali pengisian data di server triple text terus website down dan selalu penuh,mohon di benahi yg katanya pelayanan tp merasa tak terlayan!!",1 bintang
"Mohon dibantu, WA saya sering tidak di Respon. Saya sudah hampir 1 bulan ingin pindah domisili, tetapi ada saja kendalanya  Web error, sedang dalam perbaikan, dll, sedangkan antrian hanya dibuka per 2 hari.
Karena saya sedang butuh, untuk keperluan mendadak, mungkin tidak hanya saya tetapi banyak masyarakat yang mengeluhkan hal sama.",1 bintang
Hampir semua PNS atau ASN  kerjaan pelayanan publik nya buruk ....,1 bintang
Disuruh daftar online tapi websitenya ga bisa diakses. PNS mana bisa kerja bener sih.,1 bintang
"SERVER BOBOBROK , BELI MAHAL-MAHAL  SISTEM NGAK GUNA
BUKANYA MEMBANTU  TAPI MALAH MEMPERSULIT WARGA ,
tolong lah di dengar keluhan masyarakat kalo memang ngak bisa buat daftar online apasalahnya yg dateng kesana daftar manual",1 bintang
"Tolong lah warga jgn dipersulit untuk pengurusan berkas.. nyuru Daftar online ,websitenya Eror,kuotoanya penuh, apa perlu di bawa media ke kantor dukcapil utuk menjawab keluhan masyarakat tangsel??
Mikir waktu kmi kebuang ,smntra klian gak kerja pun ada gaji,klw kmi rakyat ,gk krja gk ada duit.😤",1 bintang
"Mau cetak ktp aja susah bgt, daftar online sengaja malem pukul 00.01 langsung penuh terus, seminggu gitu aja trus, maunya gmn? Harus nyogok pake duit ???",1 bintang
"W capek daftar online tripeltex yang ngebuat stressss daftar on line gak conect ke servernya,anak w baru lahir udah 2 bulan gak ke urusan buat akte lahirnya",1 bintang
"Begitu bejubelnya orang, bagaimana AC mau berasa bila pintu dibuka terus.
Jauh lokasinya.. eh suruh ngurus ke Kecamatan dengan aplikasi.
Gitu kok disuruh nyetak... gimana mau hemat kertas",3 bintang
Sangat Buruk...👎,1 bintang
"Situs nya tidak bisa buat pendaftaran,mohon diperbaiki",2 bintang
"Server yg tidak memadai menyulitkan warga tangsel untuk mengurus berkas yg di butuhkan di ducapil, seperti pembuatan kk, ektp, dll sebagainya
ibu bapak kepala ducapil tangsel mohon segera di audit apa yg perlu di benahi.
agar kami para warga bisa dengan mudah dan efisien dalam pengurusan berkas",1 bintang
"Sistem pendaftaran online nya buruk sekali, mohon diperbaiki",1 bintang
Di wa gak bales.... gue juga mau kerja di pemerintahan klo kaya gitu,1 bintang
"Bingung,. Bikin ktp online lebih dulu,, yg selesai orang lain duluan yg daftarnya dibelakang saya,. Proses verifikasi terus.. 😰😰😰",2 bintang
Coba tolong d perbaiki lagi servernya disdukcapil agar mempermudah pelayanan karena setiap kita mau cetak ktp itu tandanya kita memang sangat butuh yg namanya ktp tapi klo pelayanannya seperti ini bagaimana kita bisa memenuhi kepengan kita …,3 bintang
"Ini maunya apaa sihhhh,,, katanya suruh daftar online.
Giliran udah online tapi servernya susah kebuka, pas udah punya akun terus log in jawabannya tutup terus. Masak mulai tanggal 10 sampai sekarang gini aja.
Birokrasi yg amburadul dul dul dul kimet.",1 bintang
Mau masuk aplikasi aja susah banget..... Bikin aplikasi bobrok,1 bintang
Informasi kelengkapan dokumen di receptionist depan tidak sama saat kita sdh antri duduk pas di depan cs nya dibilang dokumen kurang. Alhasil harus kembali lagi. Terakhir ke kantor BPN asli pelayanan nya mantaaaaap. Beda dengan disdukcapil,1 bintang
Pelayanan cepat dan ramah. Security & bapak petugas loket 9 sangat membantu. Urus KK udah kelar,5 bintang
